Block,Subplot,LegacySpp,year,planting,weeding,ACHMIL,ERISPE,GAIARI,LINLEW,PENSTR,BOUGRA,ELYELY,KOEMAC,PSESPE,BROTEC,CENSTO,EUPESU,POTREC,original_legacy_cover,new_legacy_cover,exotic_grass_other,exotic_forb_other,native_grass_other ,native_forb_other,bare_ground,litter,exotic_other_total,exotic_total
3,A,EUPESU,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,0,NA,NA,NA,NA,NA,NA,50,55
3,B,EUPESU,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,0,NA,NA,NA,NA,NA,NA,60,65
3,C,EUPESU,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,15,0,NA,NA,NA,NA,NA,NA,10,25
3,D,EUPESU,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,0,NA,NA,NA,NA,NA,NA,20,45
3,A,POTREC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,5,10
3,B,POTREC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,5,10
3,C,POTREC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,5,10
3,D,POTREC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0,NA,NA,NA,NA,NA,NA,7,15
3,A,Native,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,15
3,B,Native,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,10,10
3,C,Native,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,15
3,D,Native,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,25
4,A,EUPESU,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,0,NA,NA,NA,NA,NA,NA,40,50
4,B,EUPESU,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,0,NA,NA,NA,NA,NA,NA,40,45
4,C,EUPESU,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,15,0,NA,NA,NA,NA,NA,NA,20,35
4,D,EUPESU,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,0,NA,NA,NA,NA,NA,NA,15,40
4,A,Native,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,15
4,B,Native,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,25
4,C,Native,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,70,70
4,D,Native,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,30,30
4,A,CENSTO,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,35,35
4,B,CENSTO,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20,20
4,C,CENSTO,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20,20
4,D,CENSTO,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,35,35
